ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_beta2,Parent_VIP_positive_beta2
1,1,5989.5,136.5,0,1,9,0
1,2,5990.6,138.8,0,2,9,0
1,3,5989.25,139.25,0,3,9,0
1,4,5973.333333333333,143.33333333333334,0,4,9,0
1,5,5977.0,180.5,0,5,13,0
1,6,5674.0,197.28571428571428,0,6,15,0
1,7,5970.666666666667,202.33333333333334,0,7,13,0
1,8,5878.5,226.5,0,8,17,0
1,9,6012.666666666667,230.16666666666666,0,9,19,0
1,10,5894.25,235.0,0,10,20,0
1,11,5968.4,245.8,0,11,24,0
1,12,5965.0,250.71428571428572,0,12,24,0
1,13,6009.166666666667,262.3333333333333,0,13,25,0
1,14,6015.5,261.0,0,14,25,0
1,15,6032.0,261.2857142857143,0,15,29,0
1,16,6014.666666666667,262.1666666666667,0,16,25,0
1,17,6033.0,263.7142857142857,0,17,29,0
1,18,6034.333333333333,265.6666666666667,0,18,29,0
1,19,5994.0,267.5,0,19,25,0
1,20,5992.666666666667,268.3333333333333,0,20,25,0
1,21,6035.25,268.0,0,21,29,0
1,22,6036.4,270.2,0,22,29,0
1,23,6013.0,271.0,0,23,25,0
1,24,6010.0,275.0,0,24,25,0
1,25,6038.5,276.5,0,25,29,0
1,26,5864.666666666667,278.6666666666667,0,26,0,0
1,27,5996.5,287.0,0,27,25,0
1,28,6043.5,296.0,0,28,29,0
1,29,6037.833333333333,304.0,0,29,29,0
1,30,6041.666666666667,322.6666666666667,0,30,36,0
1,31,5757.0,327.8333333333333,0,31,38,0
1,32,5739.0,336.0,0,32,41,0
1,33,6019.0,339.0,0,33,36,0
1,34,5962.166666666667,343.8333333333333,0,34,0,0
1,35,5755.4,356.2,0,35,41,0
1,36,5765.0,357.0,0,36,41,0
1,37,5756.0,358.0,0,37,41,0
1,38,6032.666666666667,358.3333333333333,0,38,36,0
1,39,5504.0,364.3333333333333,0,39,48,0
1,40,5761.0,365.0,0,40,41,0
1,41,6014.0,372.0,0,41,49,0
1,42,5510.2,376.6,0,42,48,0
1,43,5774.333333333333,375.6666666666667,0,43,0,0
1,44,5997.0,376.8,0,44,49,0
1,45,5906.0,378.0,0,45,51,0
1,46,5510.714285714285,378.85714285714283,0,46,48,0
1,47,5510.5,381.5,0,47,48,0
1,48,5493.5,384.0,0,48,48,0
1,49,5493.666666666667,385.6666666666667,0,49,48,0
1,50,5513.0,387.0,0,50,48,0
1,51,5915.0,390.0,0,51,51,0
1,52,5914.285714285715,392.0,0,52,51,0
1,53,5517.0,393.0,0,53,48,0
1,54,5764.0,396.5,0,54,0,0
1,55,5927.0,395.8333333333333,0,55,51,0
1,56,6062.2,403.6,0,56,60,0
1,57,5642.857142857143,411.42857142857144,0,57,62,0
1,58,6083.857142857143,413.57142857142856,0,58,60,0
1,59,5645.0,415.0,0,59,62,0
1,60,5643.75,417.25,0,60,62,0
1,61,5841.0,418.0,0,61,61,0
1,62,5644.5,419.5,0,62,62,0
1,63,5647.0,419.5,0,63,62,0
1,64,5872.0,418.2857142857143,0,64,59,0
1,65,5678.5,421.5,0,65,57,0
1,66,5870.0,421.8,0,66,59,0
1,67,5649.0,425.0,0,67,62,0
1,68,5820.5,426.0,0,68,61,0
1,69,5700.0,428.0,0,69,57,0
1,70,5572.5,428.5,0,70,64,0
1,71,5846.75,430.0,0,71,61,0
1,72,5722.0,431.0,0,72,65,0
1,73,5860.0,432.0,0,73,59,0
1,74,5815.0,434.2857142857143,0,74,61,0
1,75,6057.5,436.5,0,75,0,1
1,76,5707.0,436.5,0,76,65,0
1,77,5745.5,437.0,0,77,0,0
1,78,5832.285714285715,441.0,0,78,61,0
1,79,5421.5,442.0,0,79,63,0
1,80,5423.0,441.6,0,80,63,0
1,81,5698.0,442.5,0,81,65,0
1,82,5822.0,443.0,0,82,61,0
1,83,6093.5,442.5,0,83,60,1
1,84,5700.285714285715,443.85714285714283,0,84,65,0
1,85,5712.2,444.4,0,85,65,0
1,86,5598.0,447.0,0,86,68,0
1,87,5609.5,447.0,0,87,68,0
1,88,6096.0,447.0,0,88,0,1
1,89,5724.0,449.0,0,89,65,0
1,90,5945.333333333333,449.3333333333333,0,90,75,0
1,91,5617.714285714285,450.0,0,91,68,0
1,92,5624.5,452.0,0,92,71,0
1,93,5599.0,454.0,0,93,68,0
1,94,5951.0,454.0,0,94,75,0
1,95,5978.5,454.5,0,95,75,0
1,96,5952.333333333333,455.3333333333333,0,96,75,0
1,97,6032.2,456.4,0,97,72,0
1,98,5715.0,457.0,0,98,65,0
1,99,5611.0,459.0,0,99,68,0
1,100,5681.5,460.5,0,100,70,0
1,101,5822.8,460.2,0,101,74,0
1,102,5777.5,462.5,0,102,66,0
1,103,5582.0,464.5,0,103,73,0
1,104,5819.0,466.5,0,104,74,0
1,105,6051.6,466.2,0,105,72,0
1,106,6067.5,470.5,0,106,0,1
1,107,5982.5,471.5,0,107,87,0
1,108,5610.0,471.5,0,108,76,0
1,109,5676.0,472.0,0,109,70,0
1,110,5351.833333333333,476.1666666666667,0,110,88,0
1,111,5615.0,475.0,0,111,76,0
1,112,5903.666666666667,475.6666666666667,0,112,80,0
1,113,5928.0,475.0,0,113,77,0
1,114,6106.5,475.0,0,114,83,0
1,115,6086.5,475.5,0,115,81,0
1,116,6095.8,475.0,0,116,83,0
1,117,5651.0,477.0,0,117,62,0
1,118,5688.2,476.6,0,118,70,0
1,119,5921.0,479.0,0,119,77,0
1,120,5619.5,481.0,0,120,82,0
1,121,5644.285714285715,481.14285714285717,0,121,71,0
1,122,6065.25,481.0,0,122,81,0
1,123,5761.5,482.5,0,123,0,0
1,124,5620.0,482.5,0,124,82,0
1,125,5915.4,483.2,0,125,80,0
1,126,5698.25,485.75,0,126,70,0
1,127,5699.5,486.5,0,127,70,0
1,128,5603.0,491.5,0,128,93,0
1,129,5604.75,491.25,0,129,93,0
1,130,6100.2,491.6,0,130,91,0
1,131,6102.0,491.5,0,131,91,0
1,132,5524.6,494.8,0,132,92,0
1,133,5639.0,495.5,0,133,82,0
1,134,5383.0,496.5,0,134,84,0
1,135,5622.166666666667,496.8333333333333,0,135,82,0
1,136,6008.0,498.5,0,136,89,0
1,137,5378.5,500.0,0,137,84,0
1,138,6088.0,501.7142857142857,0,138,83,0
1,139,6097.5,502.5,0,139,96,0
1,140,5321.333333333333,503.3333333333333,0,140,88,0
1,141,6087.0,503.0,0,141,83,0
1,142,6092.333333333333,502.6666666666667,0,142,96,0
1,143,6098.5,503.5,0,143,96,0
1,144,5559.0,504.0,0,144,92,0
1,145,5593.666666666667,503.3333333333333,0,145,93,0
1,146,5658.8,503.4,0,146,0,0
1,147,5466.0,505.0,0,147,100,0
1,148,6117.5,505.5,0,148,96,0
1,149,5840.666666666667,505.6666666666667,0,149,98,0
1,150,5575.166666666667,507.1666666666667,0,150,93,0
1,151,5655.166666666667,506.8333333333333,0,151,0,0
1,152,5533.4,508.8,0,152,92,0
1,153,5914.5,508.0,0,153,113,0
1,154,5534.428571428572,510.0,0,154,92,0
1,155,5986.0,509.0,0,155,99,0
1,156,5457.5,511.5,0,156,100,0
