ImageNumber,ObjectNumber,Children_beta2_puncta_Count,Classify_negative,Classify_strongPositive,Classify_weakPositive,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,1,1,1,0,0,3294.3459915611816,5.80028129395218,0,1,1
1,2,0,1,0,0,3297.7250786988457,29.06558237145855,0,2,2
1,3,2,1,0,0,3136.8831437435365,64.73078248879696,0,3,3
1,4,0,1,0,0,3003.0347776510835,78.42702394526796,0,4,4
1,5,2,1,0,0,2963.1474418604653,86.61255813953488,0,5,5
1,6,6,0,1,0,3290.5898910411624,77.39194915254237,0,6,6
1,7,2,1,0,0,3325.727912706793,100.62090813093981,0,7,7
1,8,0,1,0,0,3055.0672074159907,87.60177674777907,0,8,8
1,9,1,1,0,0,2833.4804928131416,121.64388383690232,0,9,9
1,10,4,0,0,1,3197.1519916142556,105.23864430468204,0,10,10
1,11,0,1,0,0,3033.3024541997925,126.47044590390598,0,11,11
1,12,0,1,0,0,3418.1969309462916,119.42369991474851,0,12,12
1,13,0,1,0,0,3274.0628881987577,127.2639751552795,0,13,13
1,14,0,1,0,0,3248.0968569595893,138.77934573444514,0,14,14
1,15,0,1,0,0,3226.0625,133.01704545454547,0,15,15
1,16,0,1,0,0,3422.097237987136,148.77298524404085,0,16,16
1,17,2,1,0,0,3213.9306768558954,155.1457423580786,0,17,17
1,18,0,1,0,0,3100.1637583892616,135.1744966442953,0,18,18
1,19,4,0,0,1,3127.8806122448977,138.49591836734695,0,19,19
1,20,1,1,0,0,2727.516212710765,150.10722006052745,0,20,20
1,21,1,1,0,0,3154.657142857143,146.92675324675324,0,21,21
1,22,2,1,0,0,2959.797824116047,152.02115442731943,0,22,22
1,23,0,1,0,0,3240.175,160.2111111111111,0,23,23
1,24,0,1,0,0,3011.5245253164558,155.3022151898734,0,24,24
1,25,3,0,0,1,3182.3540599853695,157.82516459400145,0,25,25
1,26,0,1,0,0,2687.0257265364457,155.24202000952835,0,26,26
1,27,0,1,0,0,3277.198139534884,171.47116279069766,0,27,27
1,28,1,1,0,0,2998.7550561797752,169.3303370786517,0,28,28
1,29,1,1,0,0,2634.8074324324325,166.24042792792793,0,29,29
1,30,1,1,0,0,2894.3542392566783,172.0801393728223,0,30,30
1,31,0,1,0,0,2860.4443686006825,178.91194539249148,0,31,31
1,32,0,1,0,0,3117.1258782201403,180.61651053864168,0,32,32
1,33,3,0,0,1,2618.6854130052725,186.84534270650263,0,33,33
1,34,3,0,0,1,2584.3646329837943,180.37797902764538,0,34,34
1,35,0,1,0,0,2834.433029908973,194.46163849154746,0,35,35
1,36,0,1,0,0,2915.1848484848483,175.4909090909091,0,36,36
1,37,1,1,0,0,2995.4012232415903,192.17859327217124,0,37,37
1,38,2,1,0,0,2939.6959334565618,189.1524953789279,0,38,38
1,39,0,1,0,0,3068.134581626682,177.4365125804564,0,39,39
1,40,0,1,0,0,3159.1274638633377,188.4323258869908,0,40,40
1,41,1,1,0,0,2678.245880312229,196.71075455333911,0,41,41
1,42,0,1,0,0,3121.65873015873,209.99319727891157,0,42,42
1,43,2,1,0,0,2771.383008356546,192.0125348189415,0,43,43
1,44,1,1,0,0,2898.408993576017,198.80620985010705,0,44,44
1,45,1,1,0,0,3004.4788169464427,213.46442845723422,0,45,45
1,46,2,1,0,0,3060.913708086785,205.47781065088756,0,46,46
1,47,1,1,0,0,3151.479,217.781,0,47,47
1,48,1,1,0,0,3205.8597609561753,206.94860557768925,0,48,48
1,49,0,1,0,0,3172.63295269168,215.2936378466558,0,49,49
1,50,3,0,0,1,2634.7641681901277,205.3857404021938,0,50,50
1,51,0,1,0,0,3465.721104452055,215.46125856164383,0,51,51
1,52,0,1,0,0,2575.4278903456498,218.82717520858165,0,52,52
1,53,0,1,0,0,2678.373303167421,219.9162895927602,0,53,53
1,54,2,1,0,0,2534.5268352868598,204.75200493522516,0,54,54
1,55,1,1,0,0,3043.783269961977,226.723700887199,0,55,55
1,56,0,1,0,0,2664.616504854369,224.03883495145632,0,56,56
1,57,2,1,0,0,2648.9586776859505,223.46831955922866,0,57,57
1,58,0,1,0,0,3342.999371464488,220.7416719044626,0,58,58
1,59,6,0,1,0,3376.59010473095,223.26002166847238,0,59,59
1,60,2,1,0,0,2511.083708370837,221.15751575157515,0,60,60
1,61,1,1,0,0,2616.8769384692346,234.02501250625312,0,61,61
1,62,0,1,0,0,3209.29756097561,236.22073170731707,0,62,62
1,63,0,1,0,0,2730.9565992865637,235.49286563614746,0,63,63
1,64,0,1,0,0,2791.278215223097,225.8713910761155,0,64,64
1,65,4,0,0,1,2919.167211328976,228.98556644880173,0,65,65
1,66,1,1,0,0,2696.1656184486374,236.40461215932913,0,66,66
1,67,0,1,0,0,2355.349015682349,241.652986319653,0,67,67
1,68,0,1,0,0,2528.481029810298,241.74525745257452,0,68,68
1,69,1,1,0,0,2767.169377990431,251.94545454545454,0,69,69
1,70,1,1,0,0,2565.8270676691727,245.60714285714286,0,70,70
1,71,0,1,0,0,2796.91961414791,248.3183279742765,0,71,71
1,72,1,1,0,0,2594.123595505618,252.75655430711612,0,72,72
1,73,2,1,0,0,3093.532196310477,246.85659589279499,0,73,73
1,74,0,1,0,0,2294.7426326129666,250.65304518664047,0,74,74
1,75,0,1,0,0,2651.991879821356,260.22452293950465,0,75,75
1,76,0,1,0,0,2571.376,257.012,0,76,76
1,77,0,1,0,0,2899.1858369098713,269.81716738197423,0,77,77
1,78,1,1,0,0,2693.1009098428453,261.9884201819686,0,78,78
1,79,1,1,0,0,2514.207720588235,256.60110294117646,0,79,79
1,80,1,1,0,0,2462.5458694659974,257.3222272934733,0,80,80
1,81,1,1,0,0,2828.3636363636365,252.9949892627058,0,81,81
1,82,3,0,0,1,3299.310842663524,252.24042427813788,0,82,82
1,83,0,1,0,0,2797.2217741935483,260.46370967741933,0,83,83
1,84,0,1,0,0,2296.5873015873017,274.30687830687833,0,84,84
1,85,0,1,0,0,3511.8843106180666,252.89778129952455,0,85,85
1,86,2,1,0,0,3259.062937062937,262.5723507261969,0,86,86
1,87,2,1,0,0,2240.8896648044692,270.25418994413405,0,87,87
1,88,0,1,0,0,2543.853211009174,272.1979030144168,0,88,88
1,89,8,0,1,0,2444.276577355229,279.85393258426967,0,89,89
1,90,5,0,0,1,2403.259483583041,270.15333120816064,0,90,90
1,91,0,1,0,0,3063.6791120080725,270.8768920282543,0,91,91
1,92,4,0,0,1,2859.842579421527,266.85016595542913,0,92,92
1,93,0,1,0,0,3039.1319241982505,280.3768221574344,0,93,93
1,94,1,1,0,0,3205.1206896551726,266.2454361054767,0,94,94
1,95,2,1,0,0,3159.5355398806296,271.10336408030383,0,95,95
1,96,0,1,0,0,2788.419386745796,280.93966369930763,0,96,96
1,97,1,1,0,0,3518.067121729238,279.40273037542664,0,97,97
