ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,1,3209.8,95.4,0,1,10,0
1,2,3321.0,102.5,0,2,7,0
1,3,2987.2,107.2,0,3,0,0
1,4,3332.0,115.0,0,4,7,0
1,5,3333.1666666666665,117.0,0,5,7,0
1,6,3112.0,122.0,0,6,18,0
1,7,3197.1666666666665,126.83333333333333,0,7,10,0
1,8,3107.0,158.71428571428572,0,8,18,0
1,9,3014.714285714286,162.0,0,9,24,0
1,10,2720.0,173.0,0,10,20,0
1,11,3161.3333333333335,179.66666666666666,0,11,40,0
1,12,2588.285714285714,185.0,0,12,34,0
1,13,2605.1428571428573,184.28571428571428,0,13,34,0
1,14,2619.0,190.5,0,14,33,0
1,15,2584.8333333333335,192.83333333333334,0,15,34,0
1,16,2931.5,197.0,0,16,38,0
1,17,2877.0,202.0,0,17,44,0
1,18,2617.0,204.0,0,18,50,0
1,19,2758.2,203.6,0,19,43,0
1,20,3124.3333333333335,204.33333333333334,0,20,42,0
1,21,2626.714285714286,215.0,0,21,61,0
1,22,2648.0,216.5,0,22,57,0
1,23,3281.0,217.28571428571428,0,23,0,0
1,24,2795.0,223.0,0,24,64,0
1,25,2911.0,224.71428571428572,0,25,65,0
1,26,2624.2,228.6,0,26,61,0
1,27,2571.8333333333335,245.16666666666666,0,27,70,0
1,28,3106.5,253.0,0,28,73,0
1,29,2574.25,254.0,0,29,76,0
1,30,2618.5,255.5,0,30,61,0
1,31,2872.714285714286,257.0,0,31,92,0
1,32,2836.285714285714,262.0,0,32,81,0
1,33,2589.6666666666665,268.6666666666667,0,33,111,0
1,34,2851.8333333333335,269.8333333333333,0,34,92,0
1,35,3443.0,270.5,0,35,101,0
1,36,3287.285714285714,273.0,0,36,82,0
1,37,3242.5,280.5,0,37,104,0
1,38,3313.714285714286,283.0,0,38,108,0
1,39,2197.0,293.2857142857143,0,39,114,0
1,40,2559.285714285714,296.0,0,40,111,0
1,41,2193.8333333333335,299.1666666666667,0,41,114,0
1,42,2296.0,304.0,0,42,119,0
1,43,2086.2,308.6,0,43,122,0
1,44,2678.0,310.5,0,44,112,0
1,45,3197.5,309.5,0,45,134,0
1,46,2407.0,311.0,0,46,132,0
1,47,3202.4,313.8,0,47,134,0
1,48,2073.6,314.8,0,48,122,0
1,49,3387.0,317.0,0,49,130,0
1,50,2021.0,318.7142857142857,0,50,131,0
1,51,2081.0,318.2857142857143,0,51,122,0
1,52,2462.714285714286,320.0,0,52,0,1
1,53,3369.75,320.25,0,53,124,0
1,54,2216.0,321.5,0,54,116,0
1,55,2457.0,321.7142857142857,0,55,0,1
1,56,2002.5,323.5,0,56,141,0
1,57,3597.3333333333335,322.6666666666667,0,57,146,0
1,58,2389.6666666666665,324.3333333333333,0,58,137,0
1,59,2405.6666666666665,324.6666666666667,0,59,132,0
1,60,2062.4,327.2,0,60,133,0
1,61,2819.6666666666665,326.6666666666667,0,61,129,0
1,62,3616.3333333333335,328.6666666666667,0,62,146,0
1,63,2341.2,329.2,0,63,118,0
1,64,2475.0,329.7142857142857,0,64,0,1
1,65,2197.5,335.5,0,65,114,0
1,66,2513.6,344.8,0,66,175,2
1,67,2515.0,348.5,0,67,175,0
1,68,2458.8333333333335,351.1666666666667,0,68,154,0
1,69,3250.0,352.0,0,69,139,0
1,70,2221.5,353.5,0,70,170,0
1,71,2319.2,353.4,0,71,172,0
1,72,2658.0,357.5,0,72,179,0
1,73,2359.6666666666665,358.3333333333333,0,73,166,0
1,74,2669.3333333333335,358.6666666666667,0,74,179,0
1,75,3027.0,359.0,0,75,174,0
1,76,2152.8333333333335,360.1666666666667,0,76,183,0
1,77,2638.0,359.7142857142857,0,77,162,0
1,78,2337.5,360.0,0,78,172,0
1,79,3033.0,365.0,0,79,174,0
1,80,3168.5,367.5,0,80,176,0
1,81,1945.5,373.5,0,81,169,0
1,82,2235.1666666666665,375.8333333333333,0,82,177,0
1,83,2674.0,377.5,0,83,179,0
1,84,1982.0,382.0,0,84,186,0
1,85,2142.0,382.5,0,85,183,0
1,86,2244.0,382.5,0,86,177,0
1,87,2102.0,395.0,0,87,217,0
1,88,1958.6666666666667,395.6666666666667,0,88,186,0
1,89,2588.1666666666665,395.8333333333333,0,89,195,0
1,90,3207.285714285714,396.0,0,90,193,0
1,91,3170.0,397.5,0,91,193,0
1,92,2077.1666666666665,398.1666666666667,0,92,217,0
1,93,2963.285714285714,398.0,0,93,224,0
1,94,1854.5,398.5,0,94,220,0
1,95,2542.0,404.0,0,95,199,0
1,96,1773.0,407.0,0,96,212,0
1,97,2543.6666666666665,407.3333333333333,0,97,199,0
1,98,1650.5,411.0,0,98,225,0
1,99,2489.0,410.5,0,99,214,0
1,100,2025.5,412.0,0,100,222,0
1,101,1770.0,415.0,0,101,212,0
1,102,3043.1666666666665,417.8333333333333,0,102,211,0
1,103,2908.285714285714,419.14285714285717,0,103,213,0
1,104,2934.0,420.0,0,104,224,0
1,105,1607.5,426.0,0,105,234,0
1,106,1778.5,426.0,0,106,212,0
1,107,1820.0,427.0,0,107,207,0
1,108,2873.0,428.75,0,108,219,0
1,109,1811.5,430.0,0,109,207,0
1,110,1747.3333333333333,431.3333333333333,0,110,212,0
1,111,2126.5,432.5,0,111,269,0
1,112,3193.5,433.5,0,112,243,0
1,113,2252.714285714286,435.42857142857144,0,113,239,0
1,114,2949.0,436.5,0,114,242,0
1,115,2392.0,438.0,0,115,210,0
1,116,3514.8333333333335,439.8333333333333,0,116,0,0
1,117,1683.5,442.5,0,117,245,0
1,118,2545.5,444.5,0,118,262,0
1,119,1512.0,445.0,0,119,253,0
1,120,3521.5,444.5,0,120,0,0
1,121,1507.5,447.0,0,121,253,0
1,122,2138.0,447.0,0,122,269,0
1,123,2114.5,447.0,0,123,269,0
1,124,2122.0,449.5,0,124,269,0
1,125,2134.4,448.8,0,125,269,0
1,126,1535.5,449.5,0,126,253,0
1,127,2109.3333333333335,453.3333333333333,0,127,269,0
1,128,2187.1666666666665,453.8333333333333,0,128,247,0
1,129,2101.0,455.0,0,129,0,0
1,130,1796.5,456.5,0,130,273,0
1,131,2219.285714285714,456.0,0,131,249,0
1,132,2310.0,456.0,0,132,241,0
1,133,3503.4,456.2,0,133,0,0
1,134,1677.5,457.0,0,134,245,0
1,135,3367.6666666666665,456.3333333333333,0,135,0,0
1,136,2135.0,458.0,0,136,269,0
1,137,1531.5,459.5,0,137,253,0
1,138,3164.8,459.4,0,138,243,0
1,139,3185.2,458.6,0,139,243,0
1,140,1684.0,462.5,0,140,245,0
1,141,2151.0,462.2857142857143,0,141,254,0
1,142,3418.0,464.0,0,142,257,0
1,143,2226.0,465.5,0,143,270,0
1,144,1822.1666666666667,467.8333333333333,0,144,271,0
1,145,2252.0,468.0,0,145,270,0
1,146,3740.0,468.0,0,146,275,0
1,147,1684.5,469.5,0,147,281,0
1,148,2115.0,469.5,0,148,269,0
1,149,2196.8,471.4,0,149,279,0
1,150,1792.5,473.5,0,150,273,0
1,151,1789.857142857143,473.7142857142857,0,151,273,0
1,152,2153.0,473.75,0,152,269,0
1,153,2167.5,474.5,0,153,254,0
1,154,2093.5,477.5,0,154,0,0
1,155,3760.0,478.0,0,155,275,0
1,156,1416.2857142857142,480.0,0,156,274,0
1,157,2203.0,479.5,0,157,279,0
1,158,2778.5,480.0,0,158,277,0
1,159,1879.5,481.5,0,159,0,0
1,160,1665.2857142857142,484.0,0,160,281,0
1,161,2074.0,484.2857142857143,0,161,278,0
1,162,3576.5,486.0,0,162,294,0
1,163,2179.8333333333335,486.8333333333333,0,163,279,0
1,164,1814.5,489.0,0,164,284,0
1,165,2159.6666666666665,489.6666666666667,0,165,269,0
1,166,2183.714285714286,489.0,0,166,290,0
1,167,2939.0,491.5,0,167,291,0
1,168,2492.0,495.0,0,168,295,0
1,169,2390.714285714286,496.0,0,169,287,0
1,170,2469.5,502.0,0,170,289,0
1,171,1836.5,505.5,0,171,300,0
1,172,1302.0,509.2857142857143,0,172,0,0
1,173,2753.8333333333335,512.1666666666666,0,173,0,0
1,174,1644.0,513.25,0,174,298,0
1,175,1240.5,515.0,0,175,0,0
1,176,2282.0,516.0,0,176,316,0
1,177,2310.8,516.4,0,177,304,0
1,178,3387.5,519.0,0,178,342,0
1,179,1426.0,520.5,0,179,0,0
1,180,1907.3333333333333,520.1666666666666,0,180,324,0
1,181,1220.1666666666667,521.1666666666666,0,181,314,0
1,182,1789.8,522.4,0,182,313,0
1,183,2956.5,522.0,0,183,303,0
1,184,1911.0,523.0,0,184,324,0
1,185,1644.0,526.2857142857143,0,185,307,0
1,186,3390.5,526.5,0,186,342,0
1,187,2077.0,526.7142857142857,0,187,317,0
1,188,1653.0,528.5,0,188,307,0
1,189,1973.5,529.0,0,189,308,0
1,190,1804.2,533.6,0,190,313,0
1,191,2201.5,534.0,0,191,0,0
1,192,1383.2,536.6,0,192,346,0
1,193,1761.0,538.0,0,193,321,0
1,194,1574.0,539.5,0,194,349,0
1,195,2044.6666666666667,540.3333333333334,0,195,315,0
1,196,3083.5,540.0,0,196,347,0
1,197,3071.5,541.5,0,197,336,0
1,198,3500.0,543.5,0,198,344,0
1,199,3007.0,548.7142857142857,0,199,379,0
1,200,3385.5,548.5,0,200,342,0
1,201,1641.0,551.0,0,201,355,0
1,202,3069.2,550.4,0,202,347,0
1,203,1495.3333333333333,552.8333333333334,0,203,367,0
1,204,1916.5,553.5,0,204,343,0
1,205,2062.0,554.7142857142857,0,205,317,0
1,206,1586.5,556.5,0,206,349,0
1,207,3577.5,555.5,0,207,375,0
1,208,1496.8,556.6,0,208,367,0
1,209,1921.5,557.0,0,209,343,0
1,210,2916.4,556.8,0,210,392,0
