ImageNumber,ObjectNumber,Children_alpha7_puncta_Count,Classify_negative,Classify_strongPositive,Classify_weakPositive,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,1,0,1,0,0,4127.058059277304,96.85424279334146,0,1,1
1,2,0,1,0,0,4006.4007009345796,102.52570093457943,0,2,2
1,3,0,1,0,0,4053.5984611000285,108.05186662866913,0,3,3
1,4,0,1,0,0,3982.7017448200654,120.31952017448201,0,4,4
1,5,0,1,0,0,4015.541275797373,139.1172607879925,0,5,5
1,6,0,1,0,0,4047.338917525773,147.76675257731958,0,6,6
1,7,0,1,0,0,4023.9030470914126,163.0512465373961,0,7,7
1,8,0,1,0,0,3908.8780096308187,161.66324237560193,0,8,8
1,9,0,1,0,0,4125.500334672021,166.84270414993307,0,9,9
1,10,0,1,0,0,4175.763521074226,166.22342409548676,0,10,10
1,11,0,1,0,0,3979.4697072838667,167.15316541865215,0,11,11
1,12,0,1,0,0,3885.598623853211,191.41284403669724,0,12,12
1,13,0,1,0,0,4051.071232876712,181.45041095890411,0,13,13
1,14,0,1,0,0,3980.3071546052633,195.67475328947367,0,14,14
1,15,0,1,0,0,4153.5952380952385,199.86996336996336,0,15,15
1,16,0,1,0,0,3993.450928381963,219.93722369584438,0,16,16
1,17,0,1,0,0,4028.3798836242727,217.90274314214463,0,17,17
1,18,0,1,0,0,4154.296222664016,217.88667992047715,0,18,18
1,19,0,1,0,0,4051.0256835128416,225.5791217895609,0,19,19
1,20,0,1,0,0,4131.019607843137,228.35294117647058,0,20,20
1,21,0,1,0,0,4115.096774193548,226.24492234169654,0,21,21
1,22,0,1,0,0,3926.817912657291,225.36935603256848,0,22,22
1,23,0,1,0,0,3636.2667493796525,233.0682382133995,0,23,23
1,24,0,1,0,0,4098.537482319661,224.1046676096181,0,24,24
1,25,0,1,0,0,4082.7443718228033,232.15250544662308,0,25,25
1,26,0,1,0,0,3971.64756097561,247.15975609756097,0,26,26
1,27,0,1,0,0,3952.1125,240.09886363636363,0,27,27
1,28,0,1,0,0,4137.390167364017,249.60774058577405,0,28,28
1,29,0,1,0,0,3927.6991150442477,247.9070796460177,0,29,29
1,30,0,1,0,0,4002.490713587488,250.21114369501467,0,30,30
1,31,0,1,0,0,3595.098145285935,250.61901081916537,0,31,31
1,32,0,1,0,0,3616.941507311586,260.214848143982,0,32,32
1,33,0,1,0,0,3935.9631336405528,261.9047619047619,0,33,33
1,34,0,1,0,0,3672.142929038752,260.2043281328636,0,34,34
1,35,0,1,0,0,4075.712085308057,265.0687203791469,0,35,35
1,36,0,1,0,0,3554.5276717557254,271.61323155216286,0,36,36
1,37,0,1,0,0,3976.781308411215,272.30654205607476,0,37,37
1,38,0,1,0,0,4051.5205688166584,271.4713052310818,0,38,38
1,39,0,1,0,0,4113.979547900969,276.84391819160385,0,39,39
1,40,0,1,0,0,3998.882615156018,275.5809806835067,0,40,40
1,41,0,1,0,0,3755.702813599062,279.41969519343496,0,41,41
1,42,0,1,0,0,3727.44616639478,284.5358890701468,0,42,42
1,43,0,1,0,0,4115.30383480826,295.28613569321533,0,43,43
1,44,0,1,0,0,3791.9145427286358,284.09445277361317,0,44,44
1,45,0,1,0,0,3579.1034761519804,300.0468876313662,0,45,45
1,46,0,1,0,0,4005.6207951070337,289.77675840978594,0,46,46
1,47,0,1,0,0,3904.201169590643,282.15204678362574,0,47,47
1,48,0,1,0,0,3938.289260385005,289.9204660587639,0,48,48
1,49,0,1,0,0,4025.484032561052,297.74702567313716,0,49,49
1,50,0,1,0,0,3473.953165374677,301.2609819121447,0,50,50
1,51,0,1,0,0,3896.4487722269264,316.4081287044877,0,51,51
1,52,0,1,0,0,3878.1380368098157,306.1646216768916,0,52,52
1,53,0,1,0,0,3800.3539042821158,315.4710327455919,0,53,53
1,54,0,1,0,0,3981.921967769296,315.65945716709075,0,54,54
1,55,0,1,0,0,3652.233651226158,310.0715258855586,0,55,55
1,56,0,1,0,0,3422.914267434421,306.2264875239923,0,56,56
1,57,0,1,0,0,3921.6191489361704,330.40992907801416,0,57,57
1,58,0,1,0,0,3437.5991531404375,337.33309809456597,0,58,58
1,59,0,1,0,0,4179.073961499494,323.016210739615,0,59,59
1,60,0,1,0,0,3722.3817966903075,331.1755319148936,0,60,60
1,61,0,1,0,0,3627.9300643086817,324.612540192926,0,61,61
1,62,0,1,0,0,3989.541935483871,337.22795698924733,0,62,62
1,63,0,1,0,0,4138.33125,325.6041666666667,0,63,63
1,64,0,1,0,0,3393.3683116883117,330.8342857142857,0,64,64
1,65,0,1,0,0,3767.676092544987,337.41167829599704,0,65,65
1,66,0,1,0,0,4089.3435639028858,327.5194686211635,0,66,66
1,67,0,1,0,0,4116.544642857143,338.38186813186815,0,67,67
1,68,0,1,0,0,3344.574523720583,345.8569293985805,0,68,68
1,69,0,1,0,0,4157.923835832676,344.5662983425414,0,69,69
1,70,0,1,0,0,3743.5971830985914,353.1943661971831,0,70,70
1,71,0,1,0,0,3369.5546950629237,360.24298160697,0,71,71
1,72,0,1,0,0,3611.377543859649,354.2294736842105,0,72,72
1,73,0,1,0,0,3677.8384067357515,356.9054404145078,0,73,73
1,74,0,1,0,0,3635.9082969432316,371.95487627365355,0,74,74
1,75,0,1,0,0,4052.849306431274,356.81368221941995,0,75,75
1,76,0,1,0,0,3968.0097919216646,360.03365973072215,0,76,76
1,77,0,1,0,0,3291.3796296296296,364.4834656084656,0,77,77
1,78,0,1,0,0,3513.4566501299314,366.7500590597685,0,78,78
1,79,0,1,0,0,3718.854910714286,374.38392857142856,0,79,79
1,80,0,1,0,0,3266.6363636363635,385.24821246169563,0,80,80
