ImageNumber,ObjectNumber,Children_alpha7_puncta_Count,Classify_negative,Classify_strongPositive,Classify_weakPositive,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,1,1,1,0,0,3862.0872624912035,1063.7790288529204,0,1,850
1,2,0,1,0,0,3821.083102493075,1092.3527239150508,0,2,863
1,3,0,1,0,0,3891.145956607495,1081.378698224852,0,3,864
1,4,0,1,0,0,3845.1104972375692,1098.6961325966852,0,4,882
1,5,0,1,0,0,5392.074346405228,1188.2908496732025,0,5,1086
1,6,0,1,0,0,5391.260566882148,1240.340129288911,0,6,1169
1,7,0,1,0,0,5489.17215870881,1239.6745124411566,0,7,1185
1,8,0,1,0,0,5441.415297450425,1255.9195467422096,0,8,1194
1,9,0,1,0,0,5476.215243472124,1268.8108680310515,0,9,1209
1,10,0,1,0,0,5402.5474404955985,1278.3462667101403,0,10,1216
1,11,0,1,0,0,5522.971022128557,1266.3893572181244,0,11,1220
1,12,0,1,0,0,5529.809312638581,1303.1807095343681,0,12,1241
1,13,0,1,0,0,5493.681660899654,1291.5951557093426,0,13,1247
1,14,0,1,0,0,5486.49459234609,1311.043677204659,0,14,1272
1,15,0,1,0,0,5636.86926889715,1326.7667286245353,0,15,1317
1,16,0,1,0,0,5456.140802422407,1341.7456472369417,0,16,1341
1,17,0,1,0,0,5396.111987381703,1340.577287066246,0,17,1350
1,18,0,1,0,0,5398.313839027215,1374.440648523451,0,18,1376
1,19,0,1,0,0,5632.120649651973,1361.2358855375096,0,19,1382
1,20,0,1,0,0,5592.052268244576,1360.8224852071005,0,20,1393
1,21,0,1,0,0,5464.441194393662,1377.9868982327848,0,21,1396
1,22,0,1,0,0,5614.130217028381,1376.5492487479132,0,22,1398
1,23,0,1,0,0,5573.571609632446,1369.3662864385299,0,23,1414
1,24,0,1,0,0,5637.078862660945,1400.4291845493563,0,24,1429
1,25,0,1,0,0,5682.947109471094,1384.039975399754,0,25,1435
1,26,0,1,0,0,5570.025506376594,1399.801950487622,0,26,1440
1,27,0,1,0,0,5418.757033248082,1394.4833759590792,0,27,1460
1,28,0,1,0,0,5433.190677966101,1420.175654853621,0,28,1493
1,29,0,1,0,0,5710.658510638298,1425.0457446808512,0,29,1507
1,30,0,1,0,0,5683.330645161291,1444.6305831265508,0,30,1523
1,31,0,1,0,0,5585.257482993197,1437.504081632653,0,31,1544
1,32,0,1,0,0,5758.523929471033,1433.3727959697733,0,32,1545
1,33,0,1,0,0,5777.653525398029,1461.4109173616375,0,33,1577
1,34,0,1,0,0,5454.756849315068,1454.242294520548,0,34,1591
1,35,0,1,0,0,5578.8156899810965,1467.3544423440453,0,35,1597
1,36,0,1,0,0,5429.998516320475,1471.4060336300693,0,36,1598
1,37,0,1,0,0,5744.780542986426,1462.5180995475114,0,37,1601
1,38,0,1,0,0,5556.128571428571,1478.3624060150375,0,38,1609
1,39,0,1,0,0,5500.717652289906,1470.7967985771454,0,39,1616
1,40,0,1,0,0,5471.304319793681,1490.020631850419,0,40,1636
1,41,0,1,0,0,5716.284552845528,1488.5374887082205,0,41,1637
1,42,0,1,0,0,5608.563522617902,1488.9427333974977,0,42,1643
1,43,0,1,0,0,5642.410105757932,1491.0458284371327,0,43,1653
1,44,0,1,0,0,5398.201002063071,1499.8296492779252,0,44,1658
